"state","county","Number_children","Number_adults","Family_Size","housing_cost","food_cost","transportation_cost","healthcare_cost","other_necessities_cost","childcare_cost","taxes","total_cost","median_family_income","remaining_income","deficit_status","child_coef"
"AK","Aleutians West Census Area",4,1,5,23808,19280.3,3175.39,19130.82,15612.59,25498.08,15600.39,122105.57,98061.89,-24043.68,TRUE,-20224
"AK","Aleutians West Census Area",4,2,6,23808,23698.77,3692.81,25500.1,17213.58,25498.08,15038.93,134450.27,98061.89,-36388.38,TRUE,-20224
"AK","Anchorage Municipality",0,1,1,10524,3227.59,10104.24,6008.38,4982.74,0,5410.51,40257.46,104803,64545.54,FALSE,-19493
"AK","Anchorage Municipality",0,2,2,11112,5917.25,12621.13,12016.76,6170.37,0,6452.07,54289.58,104803,50513.42,FALSE,-19493
"AK","Anchorage Municipality",1,1,2,14640,4754.08,11174.23,9011.47,7027.24,12327.91,7084.06,66018.99,104803,38784.01,FALSE,-19493
"AK","Anchorage Municipality",1,2,3,14640,7362.13,13693.13,15019.85,7972.24,12327.91,8651.83,79667.09,104803,25135.91,FALSE,-19493
"AK","Anchorage Municipality",2,1,3,14640,6722.2,12296.33,12014.56,7740.37,23881.61,9715,87010.07,104803,17792.93,FALSE,-19493
"AK","Anchorage Municipality",2,2,4,14640,9091.75,15092.89,18022.94,8598.95,23881.61,10147.7,99475.84,104803,5327.16,FALSE,-19493
"AK","Anchorage Municipality",3,1,4,20952,9058.18,13653.27,15017.65,10873.87,27436.59,14390.33,111381.89,104803,-6578.89,TRUE,-19493
"AK","Anchorage Municipality",3,2,5,20952,11160.45,15658.34,21026.03,11635.61,27436.59,13330.59,121199.6,104803,-16396.6,TRUE,-19493
"AK","Anchorage Municipality",4,1,5,20952,11149.69,14243.12,18020.74,11631.71,27436.59,14489.88,117923.73,104803,-13120.73,TRUE,-19493
"AK","Anchorage Municipality",4,2,6,20952,13704.87,15995.4,24029.12,12557.55,27436.59,13425.34,128100.88,104803,-23297.88,TRUE,-19493
"AK","Bethel Census Area",0,1,1,13752,3539.1,8850.13,6093.28,6265.25,0,6136,44635.76,55433.2,10797.44,FALSE,-17836
"AK","Bethel Census Area",0,2,2,16884,6488.35,10555.84,12186.56,8468.73,0,7806.89,62390.37,55433.2,-6957.17000000001,TRUE,-17836
